Product,food_code,matched_affordability_item,match_score
Olive Oil,82104000,Olive oil,1.0
Milk,11100000,"Milk, NFS",0.9183333333333332
Cheese,14010000,"Cheese, NFS",0.89
Nuts,42100050,"Nuts, NFS",0.8770833333333332
Potatoes,71000100,"Potato, NFS",0.8355555555555555
Bananas,62107200,Banana chips,0.8273684210526315
Tomatoes,74203010,"Tomatoes, scalloped",0.803076923076923
Apples,53415120,"Fritter, apple",0.7852631578947368
Rice,13210410,"Pudding, rice",0.7799999999999999
Peas,41304000,Wasabi peas,0.7566666666666666
Oatmeal,53385500,"Pie, oatmeal",0.7305555555555555
Coffee,12200100,"Coffee creamer, NFS",0.705
Poultry Meat,24198570,"Chicken, canned, meat only",0.6926984126984127
Dark Chocolate,13110470,"Gelato, chocolate",0.665
Lamb & Mutton,23110050,"Lamb, ribs, cooked, lean and fat eaten (Includes mutton ribs)",0.6445070422535212
Bovine Meat (dairy herd),54308000,"Crackers, milk",0.5744642857142856
Barley (Beer),93102300,"Beer, higher alcohol (Includes barley wine)",0.5627450980392157
Pig Meat,58103120,"Tamale with meat (Includes beef; pork; tamale, NFS)",0.5594444444444444
Other Fruit,91301050,Blueberry syrup (Includes all other fruit flavors),0.5531476997578693
Maize (Meal),75216153,"Corn, creamed",0.5428787878787878
Other Vegetables,41311030,Lentil curry (Includes chickpea; other beans; tofu; with vegetables),0.5128308400460299
Citrus Fruit,92432000,"Fruit juice drink, citrus, carbonated (Includes sparkling juice; Izze Sparkling)",0.5084770114942528
Wine,14410620,"Cheese,  with wine",0.505
Wheat & Rye (Bread),51301620,"Bread, pita, wheat or cracked wheat",0.4933653846153847
Product,41420200,Natto (Includes fermented soybean product),0.4845744680851064
Soybean Oil,41420050,Soybean curd cheese,0.48250000000000004
Bovine Meat (beef herd),28500040,"Gravy, beef (Includes brown; meat; mushroom)",0.47
Palm Oil,82107000,Sesame oil,0.45833333333333326
,51108100,"Naan, Indian flatbread (Includes Nan bread)",0.452906976744186
,51108100,"Naan, Indian flatbread (Includes Nan bread)",0.452906976744186
,51108100,"Naan, Indian flatbread (Includes Nan bread)",0.452906976744186
Rapeseed Oil,82107000,Sesame oil,0.45227272727272727
Cassava,71930120,"Cassava, cooked (Includes yuca blanca; with or without fat)",0.4451612903225806
Tofu,41420010,Soybean curd (Includes stir fried; bean curd; tofu),0.43762254901960784
Sunflower Oil,82104000,Olive oil,0.434090909090909
Soymilk,11321000,"Soy milk, chocolate (Includes Silk; Belsoy; Soymilk)",0.433994708994709
Beet Sugar,91101000,"Sugar, NFS",0.4302631578947368
Cane Sugar,91101000,"Sugar, NFS",0.4302631578947368
Eggs,91746150,"Easter egg, candy coated chocolate (Includes Cadbury's Mini Eggs)",0.4151515151515151
Root Vegetables,58104750,Quesadilla with vegetables,0.4045731707317073
Onions & Leeks,27460750,"Liver, beef or calves, and onions",0.3968971631205674
Fish (farmed),28350040,"Fish stock, home recipe",0.3798484848484849
Berries & Grapes,63123000,"Grapes, raw",0.3148809523809524
Other Pulses,27146150,Chicken curry (Includes other poultry),0.30625
Brassicas,62125100,Raisins,0.125
Crustaceans (farmed),62108100,"Currants, dried",0.1125
Groundnuts,52403000,"Bread, nut",0.10526315789473684
